image_id,filename,prediction,confidence,infection_percentage,severity_score,severity_label
img_ce1addabfb,Healthy(1).jpg,PRSV Suspected,0.76,39.9363,39.9363,Moderate
img_b919b3ce5f,Healthy(10).jpg,PRSV Suspected,0.7584,39.925,39.925,Moderate
img_bc76febaa9,Healthy(100).jpg,PRSV Suspected,0.761,41.3653,41.3653,Moderate
img_3ba24a6d7a,Healthy(101).jpg,PRSV Suspected,0.7629,42.4365,42.4365,Moderate
img_4c44542674,Healthy(102).jpg,PRSV Suspected,0.7448,38.945,38.945,Moderate
img_fa8cee74e1,Healthy(103).jpg,PRSV Suspected,0.7673,43.776,43.776,Moderate
img_a313682634,Healthy(104).jpg,PRSV Suspected,0.7672,41.2561,41.2561,Moderate
img_2e6371b8f7,Healthy(105).jpg,PRSV Suspected,0.7669,41.6757,41.6757,Moderate
img_c1b02aea4b,Healthy(106).jpg,PRSV Suspected,0.7573,43.2494,43.2494,Moderate
img_cceb584987,Healthy(107).jpg,PRSV Suspected,0.7453,37.4008,37.4008,Moderate
img_98df84d4b8,Healthy(108).jpg,PRSV Suspected,0.7473,38.4723,38.4723,Moderate
img_c9b833ae26,Healthy(109).jpg,PRSV Suspected,0.7525,37.7095,37.7095,Moderate
img_0e308d7642,Healthy(11).jpg,PRSV Suspected,0.756,38.5179,38.5179,Moderate
img_fc543e66e2,Healthy(110).jpg,PRSV Suspected,0.7507,38.2026,38.2026,Moderate
img_097c462cfe,Healthy(111).jpg,PRSV Suspected,0.7581,39.8459,39.8459,Moderate
img_0d5a0d6bd2,Healthy(112).jpg,PRSV Suspected,0.762,39.11,39.11,Moderate
img_af2d68006b,Healthy(113).jpg,PRSV Suspected,0.76,40.4295,40.4295,Moderate
img_10eafe90e0,Healthy(114).jpg,PRSV Suspected,0.7512,39.5079,39.5079,Moderate
img_14a9743303,Healthy(115).jpg,PRSV Suspected,0.7553,39.241,39.241,Moderate
img_30c5ce8970,Healthy(116).jpg,PRSV Suspected,0.7695,41.5188,41.5188,Moderate
img_b98b319361,Healthy(117).jpg,PRSV Suspected,0.7657,42.6525,42.6525,Moderate
img_f5bd4375f2,Healthy(118).jpg,PRSV Suspected,0.7614,40.1476,40.1476,Moderate
img_19feea3593,Healthy(119).jpg,PRSV Suspected,0.7562,41.1027,41.1027,Moderate
img_5952cc0ad9,Healthy(12).jpg,PRSV Suspected,0.7575,39.2958,39.2958,Moderate
img_9b27c6acd8,Healthy(120).jpg,PRSV Suspected,0.7584,41.0797,41.0797,Moderate
img_6f72645860,Healthy(121).jpg,PRSV Suspected,0.7576,40.4457,40.4457,Moderate
img_3cb35fdb13,Healthy(122).jpg,PRSV Suspected,0.7537,39.8014,39.8014,Moderate
img_be264386b5,Healthy(123).jpg,PRSV Suspected,0.7488,40.0739,40.0739,Moderate
img_8e2e470900,Healthy(124).jpg,PRSV Suspected,0.7433,37.5364,37.5364,Moderate
img_5bfa8b3368,Healthy(125).jpg,PRSV Suspected,0.7491,40.727,40.727,Moderate
